year,month,flagWkday1Sat0,flagAmPmMd,count,loc,boroughBridgeName,flagBroroughBridge,onStreet,from,to,END
2007,05,1,p,5089,55,Manhattan,bo,West 14th Street,Hudson Street,Eighth Avenue,1
2007,05,1,p,6516,56,Manhattan,bo,West 181st Street,St. Nicholas Avenue,Wadsworth Avenue,1
2007,05,1,p,28123,57,Manhattan,bo,West 34th Street,Broadway,Seventh Avenue,1
2007,05,1,p,11571,58,Manhattan,bo,West 40th Street,Avenue of the Americas,Fifth Avenue,1
2007,05,1,p,14939,59,Manhattan,bo,West 47th Street,Avenue of the Americas,Fifth Avenue,1
2007,05,1,p,5371,60,Manhattan,bo,Second Avenue,50th Street,51st Street,1
2007,05,1,p,8447,61,Manhattan,bo,Third Avenue,50th Street,51st Street,1
2007,05,1,p,10557,62,Manhattan,bo,Lexington Avenue,50th Street,51st Street,1
2007,05,1,p,10653,63,Manhattan,bo,Park Avenue,50th Street,51st Street,1
2007,05,1,p,9307,64,Manhattan,bo,Madison Avenue,50th Street,51st Street,1
2007,05,1,p,18855,65,Manhattan,bo,Fifth Avenue,50th Street,51st Street,1
2007,05,1,p,17222,66,Manhattan,bo,Sixth Avenue,50th Street,51st Street,1
2007,05,1,p,9683,67,Manhattan,bo,Seventh Avenue,50th Street,51st Street,1
2007,05,1,p,11214,68,Manhattan,bo,Broadway,50th Street,51st Street,1
2007,05,1,p,7362,69,Manhattan,bo,Eighth Avenue,50th Street,51st Street,1
2007,05,1,p,382,70,Manhattan,bo,Hudson River Greenway,50th Street,51st Street,1
2007,05,1,p,3972,71,Queens,bo,165th Street,89th Avenue,Jamaica Avenue,1
2007,05,1,p,4106,72,Queens,bo,37th Avenue,73rd Street,74th Street,1
2007,05,1,p,4753,73,Queens,bo,82nd Street,37th Avenue,Roosevelt Avenue,1
2007,05,1,p,4356,74,Queens,bo,Austin Street,71st Ave,70th Road,1
2007,05,1,p,1578,75,Queens,bo,Bell Boulevard,40th Avenue,41st Avenue,1
2007,05,1,p,954,76,Queens,bo,Fresh Pond Road,Cypress Hills Street,70th Avenue,1
2007,05,1,p,3280,77,Queens,bo,Hillside Avenue,169th Street,170th Street,1
2007,05,1,p,425,78,Queens,bo,Jackson Avenue,Queens Street,42nd Road,1
2007,05,1,p,3336,79,Queens,bo,Jamaica Avenue,148th Street,149th Street,1
2007,05,1,p,11407,80,Queens,bo,Jamaica Avenue,162nd Street,Guy R. Brewer Boulevard,1
2007,05,1,p,2313,81,Queens,bo,Jamaica Avenue,86th Street,87th Street,1
2007,05,1,p,6685,82,Queens,bo,Main Street,37th Avenue,38th Avenue,1
2007,05,1,p,149,83,Queens,bo,Merrick Boulevard,108th Drive,169th Place,1
2007,05,1,p,2468,84,Queens,bo,Mott Avenue,Smith Place,Central Avenue,1
2007,05,1,p,5324,85,Queens,bo,Myrtle Avenue,Palmetto Street,Woodbine Street,1
2007,05,1,p,3161,86,Queens,bo,Myrtle Avenue,Weirfield Street,Centre Street,1
2007,05,1,p,706,87,Queens,bo,Northern Boulevard,50' East of 161st Street,,1
2007,05,1,p,1048,88,Queens,bo,Prince Street,37th Avenue,38th Avenue,1
2007,05,1,p,9070,89,Queens,bo,Queens Boulevard,50' East of 80th Road,,1
2007,05,1,p,2645,90,Queens,bo,Queens Boulevard,Woodhaven Boulevard,90th Street,1
2007,05,1,p,6091,91,Queens,bo,Queens Plaza North & South,Crescent Street,27th Street,1
2007,05,1,p,10566,92,Queens,bo,Roosevelt Avenue,Main Street,Union Street,1
2007,05,1,p,6495,93,Queens,bo,Steinway Street,31st Avenue,Broadway,1
2007,05,1,p,2166,94,Queens,bo,Sutphin Boulevard,89th Avenue,90th Avenue,1
2007,05,1,p,1272,95,Queens,bo,Yellowstone Boulevard,Queens Boulevard,Gerard Place,1
2007,05,1,p,228,96,Staten Island,bo,Forest Avenue,Regan Avenue,Davis Avenue,1
2007,05,1,p,347,97,Staten Island,bo,New Dorp Lane,Hylan Boulevard,Clawson Street,1
2007,05,1,p,1268,98,Staten Island,bo,Pedestrian Walkway from Ferry Terminal,50' north of Richmond Terrace,,1
2007,05,1,p,129,99,Staten Island,bo,Richmond Hill Road,400' west of Richmond Terrace,,1
2007,05,1,p,1037,100,Staten Island,bo,Victory Boulevard,Bay Street,Van Duzer Street,1
2007,05,1,p,1514,101,East River Bridges,br,Brooklyn Bridge,midpoint,,1
2007,05,1,p,131,103,East River Bridges,br,Manhattan Bridge - South Path,midpoint,,1
2007,05,1,p,345,104,East River Bridges,br,Williamsburg Bridge,midpoint,,1
2007,05,1,p,107,105,East River Bridges,br,Queensboro Bridge,midpoint,,1
2007,05,1,p,782,106,Harlem River Bridges,br,Broadway Bridge,midpoint,,1
2007,05,1,p,480,107,Harlem River Bridges,br,University Heights Bridge,midpoint,,1
2007,05,1,p,197,108,Harlem River Bridges,br,Macombs Dam Bridge,midpoint,,1
2007,05,1,p,200,109,Harlem River Bridges,br,145th Street Bridge,midpoint,,1
2007,05,1,p,305,110,Harlem River Bridges,br,Madison Avenue Bridge,midpoint,,1
2007,05,1,p,126,111,Harlem River Bridges,br,Third Avenue Bridge,midpoint,,1
2007,05,1,p,118,112,Harlem River Bridges,br,Willis Avenue Bridge,midpoint,,1
2007,05,1,p,35,113,Harlem River Bridges,br,Triborough Bridge (Manhattan span),midpoint,,1
2007,05,1,p,207,114,Harlem River Bridges,br,Wards Island Bridge,midpoint,,1
2007,05,0,m,2508,1,Bronx,bo,Broadway,West 231st Street,Naples Terrace,1
2007,05,0,m,1971,2,Bronx,bo,East 161st Street,Grand Concourse,Sheridan Avenue,1
2007,05,0,m,14391,3,Bronx,bo,East Fordham Road,Valentine Avenue,Tiebout Avenue,1
2007,05,0,m,1798,4,Bronx,bo,East Gun Hill Road,Bainbridge Avenue,Rochambeau Avenue,1
2007,05,0,m,2334,5,Bronx,bo,East Tremont Avenue,Prospect Avenue,Clinton Avenue,1
2007,05,0,m,835,6,Bronx,bo,Grand Concourse,East 164th Street,East 165th Street,1
2007,05,0,m,2865,7,Bronx,bo,Third Avenue,East 150th Street,East 151st Street,1
2007,05,0,m,3991,8,Bronx,bo,White Plains Road,Pelham Parkway South,Lydig Avenue,1
2007,05,0,m,4354,9,Brooklyn,bo,5th Avenue,51st Street,52nd Street,1
2007,05,0,m,2225,10,Brooklyn,bo,5th Avenue,Union Street ,President Street,1
2007,05,0,m,2519,11,Brooklyn,bo,7th Avenue ,9th Street,8th Street,1
